Time	Magnitude	Latitude	Longitude	Depth
2008.009429	5.68	51.255	-130.455	15
2008.010487	5.67	-62.216	-155.533	10
2008.014055	5.88	-0.781	134.139	10
2008.018639	5.8	-3.953	131.274	30
2008.020128	6.41	32.312	85.207	10
2008.022088	6.33	43.616	-127.493	15
2008.031515	5.75	17.147	120.926	27.9
2008.034411	5.83	10.417	92.863	48.5
2008.049983	5.6	-35.139	-111.955	12.5
2008.051414	5.53	-45.023	167.252	14.1
2008.051613	6.09	2.41	126.785	55.9
2008.055662	6.03	-15.274	-175.22	25
2008.056725	6.21	1.036	97.368	20
2008.058159	5.5	14.456	-93.852	15
2008.060712	5.86	6.93	-82.288	15
2008.075628	5.63	-58.679	-25.318	30
2008.077521	6.12	-7.378	127.699	35
2008.07952	5.83	-6.128	129.724	30
2008.088475	5.94	-2.337	28.893	10
2008.091231	5.52	18.955	-67.025	16
2008.092291	6.34	-20.225	-70.169	40
2008.093765	5.78	-3.536	118.03	40
2008.099458	5.79	1.264	122.727	39.5
2008.1024	6.94	10.699	-41.891	15
2008.106156	5.96	-0.223	125.125	38
2008.108187	6.55	-60.781	-25.564	10
2008.117269	6.17	-8.212	128.795	15.3
2008.118886	6.86	36.535	21.786	37.1
2008.122977	5.75	-61.318	154.478	10
2008.135545	5.56	-53.182	-47.009	10
2008.137209	6.07	77.073	18.761	15
2008.13852	6.03	41.126	-114.859	10
2008.139367	5.6	-2.199	138.925	30
2008.139622	5.73	-2.308	99.833	27.3
2008.144188	6.75	-57.238	-23.519	14
2008.154107	6.25	26.815	142.526	20
2008.157109	5.64	12.657	141.866	20
2008.159097	5.7	-34.969	-109.042	10
2008.16417	5.61	-35.276	-179.276	20
2008.164864	5.81	51.734	-179.163	32.4
2008.168586	5.99	19.945	121.387	20
2008.171961	5.5	52.227	-173.703	15
2008.19058	5.64	52.191	-169.463	29.1
2008.192949	6.44	-16.569	167.325	14
2008.195925	6.01	-45.503	35.06	10
2008.201543	6.03	2.71	94.548	37.2
2008.201545	5.71	42.438	-126.731	10
2008.207518	5.58	-54.503	-135.43	10
2008.209033	6.22	-29.091	-177.293	34.8
2008.21517	6.05	6.194	126.978	60
2008.216125	7.1	35.425	81.431	15
2008.233826	5.63	17.274	-84.889	10
2008.235486	5.54	34.823	25.403	50.1
2008.238044	5.81	20.184	122.002	12
2008.25081	5.72	-4.849	69.208	10.5
